Kabupaten/ Kota,Measure Names,provinsi,Tanggal,Measure Values
KOTA KEDIRI,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA TIMUR,31/08/2021,"4,636,364"
KAPUAS,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN TENGAH,31/08/2021,2
PULANG PISAU,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN TENGAH,31/08/2021,0
KAMPAR,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),RIAU,31/08/2021,"5,073,529"
BOYOLALI,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA TENGAH,31/08/2021,"2,475"
KOTA BENGKULU,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),BENGKULU,31/08/2021,2
KOTA MAGELANG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA TENGAH,31/08/2021,6
KETAPANG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN BARAT,31/08/2021,"2,388,889"
KEPULAUAN MERANTI,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),RIAU,31/08/2021,"1,5"
LEBONG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),BENGKULU,31/08/2021,0
TANAH BUMBU,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN SELATAN,31/08/2021,"2,172,414"
AGAM,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA BARAT,31/08/2021,"2,485,714"
HALMAHERA UTARA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),MALUKU UTARA,31/08/2021,1
ROTE NDAO,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),NTT,31/08/2021,0
KOTA SURABAYA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA TIMUR,31/08/2021,"18,385,542"
KOTA SAMARINDA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN TIMUR,31/08/2021,2
ACEH TENGAH,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),ACEH,31/08/2021,"3,8"
MAGETAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA TIMUR,31/08/2021,"5,050,847"
PURWOREJO,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA TENGAH,31/08/2021,"2,514,286"
HULU SUNGAI SELATAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN SELATAN,31/08/2021,"2,545,455"
SAMOSIR,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA UTARA,31/08/2021,0
KARANGANYAR,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA TENGAH,31/08/2021,"2,88"
PRINGSEWU,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),LAMPUNG,31/08/2021,"3,5"
KOTA MATARAM,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),NTB,31/08/2021,"1,266,129"
BATANGHARI,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAMBI,31/08/2021,3
BULELENG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),BALI,31/08/2021,"4,486,486"
DONGGALA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI TENGAH,31/08/2021,0
KOTA BEKASI,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA BARAT,31/08/2021,"3,046,875"
KOTA MANADO,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI UTARA,31/08/2021,"7,5"
TOBA SAMOSIR,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA UTARA,31/08/2021,5
DELI SERDANG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA UTARA,31/08/2021,"16,483,824"
MERAUKE,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),PAPUA,31/08/2021,"2,234,043"
SUKAMARA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN TENGAH,31/08/2021,0
SINTANG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN BARAT,31/08/2021,2
KOTA MAKASSAR,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI SELATAN,31/08/2021,"4,111,111"
BENGKALIS,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),RIAU,31/08/2021,"5,212,963"
MELAWI,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN BARAT,31/08/2021,0
LUWU UTARA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI SELATAN,31/08/2021,"2,752,688"
PIDIE,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),ACEH,31/08/2021,1
PONOROGO,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA TIMUR,31/08/2021,"9,094,527"
ACEH SELATAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),ACEH,31/08/2021,"3,368,421"
SINJAI,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI SELATAN,31/08/2021,"6,272,727"
MINAHASA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI UTARA,31/08/2021,"2,695,652"
KOTA KOTAMOBAGU,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI UTARA,31/08/2021,1
MANOKWARI,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),PAPUA BARAT,31/08/2021,4
SUMBA TIMUR,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),NTT,31/08/2021,"4,666,667"
GUNUNG MAS,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN TENGAH,31/08/2021,0
KOTA DUMAI,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),RIAU,31/08/2021,"2,833,333"
KOTA GORONTALO,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),GORONTALO,31/08/2021,"3,181,818"
KOTA BINJAI,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA UTARA,31/08/2021,0
MINAHASA UTARA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI UTARA,31/08/2021,0
KARIMUN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KEP. RIAU,31/08/2021,0
NABIRE,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),PAPUA,31/08/2021,0
KOTA BANJARMASIN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN SELATAN,31/08/2021,"3,157,895"
HALMAHERA TIMUR,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),MALUKU UTARA,31/08/2021,"6,142,857"
BANGGAI KEPULAUAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI TENGAH,31/08/2021,0
KOTA LHOKSEUMAWE,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),ACEH,31/08/2021,0
KOTA PALOPO,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI SELATAN,31/08/2021,"3,296,296"
NGADA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),NTT,31/08/2021,"7,888,889"
KOTA MALANG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA TIMUR,31/08/2021,"6,15"
KAYONG UTARA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN BARAT,31/08/2021,"2,333,333"
KOTA PAYAKUMBUH,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA BARAT,31/08/2021,7
KOTA SUKABUMI,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA BARAT,31/08/2021,"4,394,737"
SOPPENG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI SELATAN,31/08/2021,"2,428,571"
GUNUNGKIDUL,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),DI YOGYAKARTA,31/08/2021,"2,788,136"
SIAK,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),RIAU,31/08/2021,"3,633,333"
LUWU TIMUR,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI SELATAN,31/08/2021,"5,253,731"
BOLAANG MONGONDOW TIMUR,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI UTARA,31/08/2021,0
KOTA TEBING TINGGI,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA UTARA,31/08/2021,1
KOTA SURAKARTA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA TENGAH,31/08/2021,"2,476,923"
HULU SUNGAI TENGAH,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN SELATAN,31/08/2021,"2,846,154"
MIMIKA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),PAPUA,31/08/2021,"1,8"
PARIGI MOUTONG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI TENGAH,31/08/2021,0
KEPULAUAN ANAMBAS,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KEP. RIAU,31/08/2021,0
ACEH BARAT,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),ACEH,31/08/2021,1
SUMBA BARAT,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),NTT,31/08/2021,4
BALANGAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN SELATAN,31/08/2021,"4,734,375"
MOROWALI,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI TENGAH,31/08/2021,"4,625"
JEMBRANA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),BALI,31/08/2021,"2,6"
KLUNGKUNG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),BALI,31/08/2021,"3,2"
KOTA METRO,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),LAMPUNG,31/08/2021,"2,142,857"
SABU RAIJUA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),NTT,31/08/2021,0
KOTA TANJUNG PINANG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KEP. RIAU,31/08/2021,"1,627,451"
BARITO TIMUR,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN TENGAH,31/08/2021,0
BELU,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),NTT,31/08/2021,4
KOTA YOGYAKARTA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),DI YOGYAKARTA,31/08/2021,"2,755,814"
KOTA JAMBI,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAMBI,31/08/2021,"3,025"
ACEH TAMIANG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),ACEH,31/08/2021,5
KOTA SOLOK,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA BARAT,31/08/2021,0
KOTA SAWAHLUNTO,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA BARAT,31/08/2021,"2,076,923"
KOTA PADANG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA BARAT,31/08/2021,"2,771,186"
BENGKAYANG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN BARAT,31/08/2021,"346,875"
PASER,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN TIMUR,31/08/2021,"2,722,222"
SIGI,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI TENGAH,31/08/2021,0
LINGGA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KEP. RIAU,31/08/2021,0
BADUNG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),BALI,31/08/2021,"4,928,571"
BARITO SELATAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN TENGAH,31/08/2021,0
ACEH BESAR,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),ACEH,31/08/2021,"4,092,308"
BANGKA BARAT,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KEP. BANGKA BELITUNG,31/08/2021,"4,244,444"
PENAJAM PASER UTARA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN TIMUR,31/08/2021,"3,253,968"
GIANYAR,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),BALI,31/08/2021,"3,558,824"
KUTAI KARTANEGARA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN TIMUR,31/08/2021,3
BANGKA SELATAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KEP. BANGKA BELITUNG,31/08/2021,"2,5"
NATUNA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KEP. RIAU,31/08/2021,"3,8"
KEPULAUAN MENTAWAI,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA BARAT,31/08/2021,1
SUMBA TENGAH,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),NTT,31/08/2021,"5,333,333"
TABANAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),BALI,31/08/2021,"4,096,154"
PULAU TALIABU,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),MALUKU UTARA,31/08/2021,0
TOJO UNA UNA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI TENGAH,31/08/2021,0
MINAHASA SELATAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI UTARA,31/08/2021,"4,375"
BANGGAI,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI TENGAH,31/08/2021,0
KOTA PEKANBARU,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),RIAU,31/08/2021,"7,787,634"
KOTA BUKITTINGGI,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA BARAT,31/08/2021,"2,45"
KOTA MADIUN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA TIMUR,31/08/2021,"15,2"
KOTA BALIKPAPAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN TIMUR,31/08/2021,"2,307,692"
TANAH LAUT,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN SELATAN,31/08/2021,"3,347,826"
KOTA BANJARBARU,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN SELATAN,31/08/2021,"2,807,692"
KOTA TOMOHON,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI UTARA,31/08/2021,"2,666,667"
KOTA CIREBON,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA BARAT,31/08/2021,"9,833,333"
TANA TORAJA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI SELATAN,31/08/2021,"3,047,619"
KOTA PADANG PANJANG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA BARAT,31/08/2021,2
BANGLI,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),BALI,31/08/2021,"3,689,655"
KOTA KUPANG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),NTT,31/08/2021,"278,125"
KOTA PALANGKARAYA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN TENGAH,31/08/2021,0
KOTA PEMATANGSIANTAR,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA UTARA,31/08/2021,"5,871,429"
KULON PROGO,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),DI YOGYAKARTA,31/08/2021,"2,482,759"
BOVEN DIGOEL,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),PAPUA,31/08/2021,0
BANGKA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KEP. BANGKA BELITUNG,31/08/2021,"2,329,114"
KOTA SABANG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),ACEH,31/08/2021,1
NUNUKAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN UTARA,31/08/2021,"3,347,826"
MAHAKAM ULU,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN TIMUR,31/08/2021,0
KOTA PALU,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI TENGAH,31/08/2021,"2,5"
BUOL,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI TENGAH,31/08/2021,0
KOTA MEDAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SUMATERA UTARA,31/08/2021,"2,409,836"
MOROWALI UTARA,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI TENGAH,31/08/2021,0
KOTA DENPASAR,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),BALI,31/08/2021,"3,038,961"
TABALONG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN SELATAN,31/08/2021,"2,125"
BELITUNG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KEP. BANGKA BELITUNG,31/08/2021,"1,2"
KUTAI TIMUR,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN TIMUR,31/08/2021,"2,083,333"
SLEMAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),DI YOGYAKARTA,31/08/2021,"2,628,571"
KOTA BLITAR,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),JAWA TIMUR,31/08/2021,"3,807,229"
BANTUL,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),DI YOGYAKARTA,31/08/2021,"2,315,789"
POSO,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),SULAWESI TENGAH,31/08/2021,2
SORONG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),PAPUA BARAT,31/08/2021,2
BANGKA TENGAH,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KEP. BANGKA BELITUNG,31/08/2021,"2,244,898"
KOTA TARAKAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN UTARA,31/08/2021,"3,5"
MALINAU,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN UTARA,31/08/2021,2
TANA TIDUNG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN UTARA,31/08/2021,1
KUTAI BARAT,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN TIMUR,31/08/2021,"1,25"
KOTA BANDA ACEH,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),ACEH,31/08/2021,"2,012,048"
BELITUNG TIMUR,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KEP. BANGKA BELITUNG,31/08/2021,0
KOTA BONTANG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN TIMUR,31/08/2021,1
KOTA PANGKAL PINANG,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KEP. BANGKA BELITUNG,31/08/2021,"2,131,868"
BERAU,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN TIMUR,31/08/2021,"2,861,111"
BULUNGAN,Tracing (Rasio Kontak Erat/Kasus Konfirmasi/minggu),KALIMANTAN UTARA,31/08/2021,3
BURU,Testing (% Positivity Rate/ minggu),MALUKU,31/08/2021,"6,060,606"
BUTON SELATAN,Testing (% Positivity Rate/ minggu),SULAWESI TENGGARA,31/08/2021,0
DEIYAI,Testing (% Positivity Rate/ minggu),PAPUA,31/08/2021,0
DOGIYAI,Testing (% Positivity Rate/ minggu),PAPUA,31/08/2021,
INTAN JAYA,Testing (% Positivity Rate/ minggu),PAPUA,31/08/2021,0
KEPULAUAN ARU,Testing (% Positivity Rate/ minggu),MALUKU,31/08/2021,"9,473,684"
KONAWE KEPULAUAN,Testing (% Positivity Rate/ minggu),SULAWESI TENGGARA,31/08/2021,0
MAMBERAMO RAYA,Testing (% Positivity Rate/ minggu),PAPUA,31/08/2021,0
MANOKWARI SELATAN,Testing (% Positivity Rate/ minggu),PAPUA BARAT,31/08/2021,"66,666,667"
MAYBRAT,Testing (% Positivity Rate/ minggu),PAPUA BARAT,31/08/2021,0
PEGUNUNGAN ARFAK,Testing (% Positivity Rate/ minggu),PAPUA BARAT,31/08/2021,0
PUNCAK JAYA,Testing (% Positivity Rate/ minggu),PAPUA,31/08/2021,0
MUNA,Testing (% Positivity Rate/ minggu),SULAWESI TENGGARA,31/08/2021,"14,285,714"
KEPULAUAN SULA,Testing (% Positivity Rate/ minggu),MALUKU UTARA,31/08/2021,0
BUTON TENGAH,Testing (% Positivity Rate/ minggu),SULAWESI TENGGARA,31/08/2021,0
MANDAILING NATAL,Testing (% Positivity Rate/ minggu),SUMATERA UTARA,31/08/2021,0
PANIAI,Testing (% Positivity Rate/ minggu),PAPUA,31/08/2021,0
YALIMO,Testing (% Positivity Rate/ minggu),PAPUA,31/08/2021,0
BURU SELATAN,Testing (% Positivity Rate/ minggu),MALUKU,31/08/2021,"17,647,059"
PADANG LAWAS UTARA,Testing (% Positivity Rate/ minggu),SUMATERA UTARA,31/08/2021,"24,137,931"
PUNCAK,Testing (% Positivity Rate/ minggu),PAPUA,31/08/2021,0
NIAS SELATAN,Testing (% Positivity Rate/ minggu),SUMATERA UTARA,31/08/2021,0
KUDUS,Testing (% Positivity Rate/ minggu),JAWA TENGAH,31/08/2021,"2,513,228"
PEKALONGAN,Testing (% Positivity Rate/ minggu),JAWA TENGAH,31/08/2021,"11,897,106"
OGAN KOMERING ILIR,Testing (% Positivity Rate/ minggu),SUMATERA SELATAN,31/08/2021,"34,482,759"
SAROLANGUN,Testing (% Positivity Rate/ minggu),JAMBI,31/08/2021,"2,027,027"
SERAM BAGIAN BARAT,Testing (% Positivity Rate/ minggu),MALUKU,31/08/2021,0
GROBOGAN,Testing (% Positivity Rate/ minggu),JAWA TENGAH,31/08/2021,"4,680,851"
SERAM BAGIAN TIMUR,Testing (% Positivity Rate/ minggu),MALUKU,31/08/2021,0
KEPULAUAN TANIMBAR,Testing (% Positivity Rate/ minggu),MALUKU,31/08/2021,"73,333,333"
MALUKU BARAT DAYA,Testing (% Positivity Rate/ minggu),MALUKU,31/08/2021,"66,666,667"
EMPAT LAWANG,Testing (% Positivity Rate/ minggu),SUMATERA SELATAN,31/08/2021,"35,714,286"
KEPULAUAN SELAYAR,Testing (% Positivity Rate/ minggu),SULAWESI SELATAN,31/08/2021,20
BIMA,Testing (% Positivity Rate/ minggu),NTB,31/08/2021,"2,564,103"
MUSI RAWAS UTARA,Testing (% Positivity Rate/ minggu),SUMATERA SELATAN,31/08/2021,"14,285,714"
BUTON UTARA,Testing (% Positivity Rate/ minggu),SULAWESI TENGGARA,31/08/2021,0
KAUR,Testing (% Positivity Rate/ minggu),BENGKULU,31/08/2021,"5,405,405"
KOTA SUNGAI PENUH,Testing (% Positivity Rate/ minggu),JAMBI,31/08/2021,"55,555,556"
BENGKULU SELATAN,Testing (% Positivity Rate/ minggu),BENGKULU,31/08/2021,"36,363,636"
HALMAHERA TENGAH,Testing (% Positivity Rate/ minggu),MALUKU UTARA,31/08/2021,0
NDUGA,Testing (% Positivity Rate/ minggu),PAPUA,31/08/2021,
MALUKU TENGAH,Testing (% Positivity Rate/ minggu),MALUKU,31/08/2021,"25,714,286"
TULANG BAWANG,Testing (% Positivity Rate/ minggu),LAMPUNG,31/08/2021,"77,777,778"
PEGUNUNGAN BINTANG,Testing (% Positivity Rate/ minggu),PAPUA,31/08/2021,0
KOTA TUAL,Testing (% Positivity Rate/ minggu),MALUKU,31/08/2021,"30,769,231"
LAMPUNG UTARA,Testing (% Positivity Rate/ minggu),LAMPUNG,31/08/2021,"44,067,797"
KOTA BAU BAU,Testing (% Positivity Rate/ minggu),SULAWESI TENGGARA,31/08/2021,"6,122,449"
PEMALANG,Testing (% Positivity Rate/ minggu),JAWA TENGAH,31/08/2021,"558,104"
OGAN KOMERING ULU,Testing (% Positivity Rate/ minggu),SUMATERA SELATAN,31/08/2021,"9,090,909"
LAHAT,Testing (% Positivity Rate/ minggu),SUMATERA SELATAN,31/08/2021,"20,886,076"
BANYUASIN,Testing (% Positivity Rate/ minggu),SUMATERA SELATAN,31/08/2021,"33,152,174"
SUMENEP,Testing (% Positivity Rate/ minggu),JAWA TIMUR,31/08/2021,"8,520,179"
SUPIORI,Testing (% Positivity Rate/ minggu),PAPUA,31/08/2021,60
MUNA BARAT,Testing (% Positivity Rate/ minggu),SULAWESI TENGGARA,31/08/2021,0
OGAN KOMERING ULU SELATAN,Testing (% Positivity Rate/ minggu),SUMATERA SELATAN,31/08/2021,"54,545,455"
BLORA,Testing (% Positivity Rate/ minggu),JAWA TENGAH,31/08/2021,"9,041,591"
BUTON,Testing (% Positivity Rate/ minggu),SULAWESI TENGGARA,31/08/2021,0
BATANG,Testing (% Positivity Rate/ minggu),JAWA TENGAH,31/08/2021,"9,345,794"
PATI,Testing (% Positivity Rate/ minggu),JAWA TENGAH,31/08/2021,"6,238,859"
SERANG,Testing (% Positivity Rate/ minggu),BANTEN,31/08/2021,"12,179,487"
GARUT,Testing (% Positivity Rate/ minggu),JAWA BARAT,31/08/2021,"9,691,011"
MURUNG RAYA,Testing (% Positivity Rate/ minggu),KALIMANTAN TENGAH,31/08/2021,0
HALMAHERA BARAT,Testing (% Positivity Rate/ minggu),MALUKU UTARA,31/08/2021,"16,666,667"
BANGKALAN,Testing (% Positivity Rate/ minggu),JAWA TIMUR,31/08/2021,"15,454,545"
SELUMA,Testing (% Positivity Rate/ minggu),BENGKULU,31/08/2021,20
PAMEKASAN,Testing (% Positivity Rate/ minggu),JAWA TIMUR,31/08/2021,"2,272,727"
PASURUAN,Testing (% Positivity Rate/ minggu),JAWA TIMUR,31/08/2021,"18,843,284"
TAPANULI SELATAN,Testing (% Positivity Rate/ minggu),SUMATERA UTARA,31/08/2021,"23,076,923"
PURWAKARTA,Testing (% Positivity Rate/ minggu),JAWA BARAT,31/08/2021,"10,884,354"
KOTA AMBON,Testing (% Positivity Rate/ minggu),MALUKU,31/08/2021,"9,533,367"
OGAN ILIR,Testing (% Positivity Rate/ minggu),SUMATERA SELATAN,31/08/2021,"13,793,103"
TAPANULI TENGAH,Testing (% Positivity Rate/ minggu),SUMATERA UTARA,31/08/2021,"35,135,135"
PADANG PARIAMAN,Testing (% Positivity Rate/ minggu),SUMATERA BARAT,31/08/2021,"4,437,401"
LANNY JAYA,Testing (% Positivity Rate/ minggu),PAPUA,31/08/2021,0
TANGERANG,Testing (% Positivity Rate/ minggu),BANTEN,31/08/2021,"10,076,694"
SEMARANG,Testing (% Positivity Rate/ minggu),JAWA TENGAH,31/08/2021,"271,875"
NIAS BARAT,Testing (% Positivity Rate/ minggu),SUMATERA UTARA,31/08/2021,0
WAROPEN,Testing (% Positivity Rate/ minggu),PAPUA,31/08/2021,0
