Kabupaten/ Kota,Measure Names,provinsi,Tanggal,Measure Values
LANNY JAYA,Treatment (%/minggu),PAPUA,31/08/2021,"98,366,013"
TANGERANG,Treatment (%/minggu),BANTEN,31/08/2021,"9,672,131"
SEMARANG,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"27,138,158"
NIAS BARAT,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,0
WAROPEN,Treatment (%/minggu),PAPUA,31/08/2021,
PENUKAL ABAB LEMATANG ILIR,Treatment (%/minggu),SUMATERA SELATAN,31/08/2021,4
REMBANG,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"3,040,541"
JEPARA,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"4,133,961"
SAMPANG,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"12,527,473"
TAMBRAUW,Treatment (%/minggu),PAPUA BARAT,31/08/2021,0
PESISIR BARAT,Treatment (%/minggu),LAMPUNG,31/08/2021,"7,142,857"
KOTA PEKALONGAN,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"12,877,264"
TAKALAR,Treatment (%/minggu),SULAWESI SELATAN,31/08/2021,"16,666,667"
PADANG LAWAS,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"1,785,714"
MUSI BANYUASIN,Treatment (%/minggu),SUMATERA SELATAN,31/08/2021,"14,772,036"
KENDAL,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"12,100,457"
CIREBON,Treatment (%/minggu),JAWA BARAT,31/08/2021,"1,284,221"
SITUBONDO,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"13,315,217"
CIANJUR,Treatment (%/minggu),JAWA BARAT,31/08/2021,"26,256,158"
NIAS,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"12,857,143"
ASMAT,Treatment (%/minggu),PAPUA,31/08/2021,"31,336,406"
TUBAN,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"11,269,089"
KOTA PAGAR ALAM,Treatment (%/minggu),SUMATERA SELATAN,31/08/2021,"5,059,524"
KOLAKA UTARA,Treatment (%/minggu),SULAWESI TENGGARA,31/08/2021,"83,783,784"
NIAS UTARA,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"14,285,714"
MUSI RAWAS,Treatment (%/minggu),SUMATERA SELATAN,31/08/2021,"19,047,619"
ACEH TENGGARA,Treatment (%/minggu),ACEH,31/08/2021,"21,714,286"
BOLAANG MONGONDOW UTARA,Treatment (%/minggu),SULAWESI UTARA,31/08/2021,"70,833,333"
KOTA PADANGSIDIMPUAN,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"4,312,668"
TOLIKARA,Treatment (%/minggu),PAPUA,31/08/2021,"55,102,041"
MAMBERAMO TENGAH,Treatment (%/minggu),PAPUA,31/08/2021,0
TEGAL,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"12,694,947"
ACEH TIMUR,Treatment (%/minggu),ACEH,31/08/2021,"16,165,414"
ALOR,Treatment (%/minggu),NTT,31/08/2021,"30,827,068"
KAIMANA,Treatment (%/minggu),PAPUA BARAT,31/08/2021,0
WAKATOBI,Treatment (%/minggu),SULAWESI TENGGARA,31/08/2021,"3,174,603"
PROBOLINGGO,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"13,817,035"
BANDUNG BARAT,Treatment (%/minggu),JAWA BARAT,31/08/2021,"22,745,411"
LAMPUNG TENGAH,Treatment (%/minggu),LAMPUNG,31/08/2021,"32,952,381"
KERINCI,Treatment (%/minggu),JAMBI,31/08/2021,"44,518,272"
SUMEDANG,Treatment (%/minggu),JAWA BARAT,31/08/2021,"19,501,625"
MAJALENGKA,Treatment (%/minggu),JAWA BARAT,31/08/2021,"2,257,361"
KEPULAUAN YAPEN,Treatment (%/minggu),PAPUA,31/08/2021,
TANGGAMUS,Treatment (%/minggu),LAMPUNG,31/08/2021,25
LOMBOK UTARA,Treatment (%/minggu),NTB,31/08/2021,"20,895,522"
KUNINGAN,Treatment (%/minggu),JAWA BARAT,31/08/2021,"18,249,129"
BOLAANG MONGONDOW,Treatment (%/minggu),SULAWESI UTARA,31/08/2021,"4,761,905"
PANDEGLANG,Treatment (%/minggu),BANTEN,31/08/2021,"12,454,212"
SUBANG,Treatment (%/minggu),JAWA BARAT,31/08/2021,"12,5"
KEPULAUAN SANGIHE,Treatment (%/minggu),SULAWESI UTARA,31/08/2021,"1,328,904"
LAMONGAN,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"8,529,456"
DEMAK,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"2,725,208"
LOMBOK TENGAH,Treatment (%/minggu),NTB,31/08/2021,"38,949,939"
BONDOWOSO,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"14,951,887"
SIDENRENG RAPPANG,Treatment (%/minggu),SULAWESI SELATAN,31/08/2021,"29,274,005"
TULANG BAWANG BARAT,Treatment (%/minggu),LAMPUNG,31/08/2021,"9,266,409"
OGAN KOMERING ULU TIMUR,Treatment (%/minggu),SUMATERA SELATAN,31/08/2021,"44,130,127"
HUMBANG HASUNDUTAN,Treatment (%/minggu),SUMATERA UTARA,31/08/2021,"8,928,571"
LEBAK,Treatment (%/minggu),BANTEN,31/08/2021,"12,690,707"
TASIKMALAYA,Treatment (%/minggu),JAWA BARAT,31/08/2021,"37,371,663"
KONAWE,Treatment (%/minggu),SULAWESI TENGGARA,31/08/2021,"19,285,714"
BANDUNG,Treatment (%/minggu),JAWA BARAT,31/08/2021,"16,323,358"
INDRAMAYU,Treatment (%/minggu),JAWA BARAT,31/08/2021,"763,583"
TEMANGGUNG,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"1,098,081"
KOTA PASURUAN,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"9,930,314"
BREBES,Treatment (%/minggu),JAWA TENGAH,31/08/2021,"18,445,519"
ACEH UTARA,Treatment (%/minggu),ACEH,31/08/2021,80
RAJA AMPAT,Treatment (%/minggu),PAPUA BARAT,31/08/2021,0
ROKAN HULU,Treatment (%/minggu),RIAU,31/08/2021,"3,727,422"
BOMBANA,Treatment (%/minggu),SULAWESI TENGGARA,31/08/2021,"27,272,727"
SITARO,Treatment (%/minggu),SULAWESI UTARA,31/08/2021,"2,605,042"
BANTAENG,Treatment (%/minggu),SULAWESI SELATAN,31/08/2021,"27,240,143"
DOMPU,Treatment (%/minggu),NTB,31/08/2021,"5,255,366"
WAY KANAN,Treatment (%/minggu),LAMPUNG,31/08/2021,"31,274,131"
MOJOKERTO,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"26,679,842"
KOTA LUBUK LINGGAU,Treatment (%/minggu),SUMATERA SELATAN,31/08/2021,"15,879,479"
MERANGIN,Treatment (%/minggu),JAMBI,31/08/2021,"18,197,279"
BOALEMO,Treatment (%/minggu),GORONTALO,31/08/2021,20
MUARA ENIM,Treatment (%/minggu),SUMATERA SELATAN,31/08/2021,"19,830,827"
LEMBATA,Treatment (%/minggu),NTT,31/08/2021,"7,142,857"
BOJONEGORO,Treatment (%/minggu),JAWA TIMUR,31/08/2021,"16,337,783"
KOTABARU,Treatment (%/minggu),KALIMANTAN SELATAN,31/08/2021,"78,531,524"
KEPULAUAN SERIBU,Treatment (%/minggu),DKI JAKARTA,31/08/2021,"952,381"
KOTA TERNATE,Treatment (%/minggu),MALUKU UTARA,31/08/2021,"13,571,429"
SUMBAWA,Treatment (%/minggu),NTB,31/08/2021,"26,545,086"
BOGOR,Treatment (%/minggu),JAWA BARAT,31/08/2021,"2,306,935"
