District,"Cases Per 100,000","Hospitalisation Per 100,000","Deaths Per 100,000","test per 100,000","tracing per 100,000","treatment per 100,000"
KOTA SINGKAWANG,33.15,13.15,0,18.35,3.64,8.94
KOTA PONTIANAK,33.09,27.8,1.37,11.2,3.19,28.48
KOTA BANJAR,32.93,17.15,1.59,27.8,3.16,45.47
TRENGGALEK,32.74,21.42,6,27.59,9.51,37
MADIUN,32.68,18.34,4.67,26.67,14.01,28.97
KATINGAN,32.59,7.11,0.57,58.62,0,12.91
KOTA SERANG,32.48,8.51,0.42,12.06,0,22.05
TANAH DATAR,32.3,5.27,0.86,22.04,2.79,38.39
LAMPUNG BARAT,32.2,7.81,0.33,60.34,2.2,45.28
MEMPAWAH,32.16,9.94,1.5,44,2.89,40.88
TANJUNG JABUNG BARAT,32.07,9.33,2.38,62.83,2.43,35.31
MALAKA,31.86,3.25,0.51,0,0,29.22
GAYO LUES,31.57,12.02,1.05,68.57,3,30.89
KOTA JAKARTA SELATAN,31.47,26.18,0.78,6.05,10,23.87
KOTA JAKARTA PUSAT,31.45,51.07,0.88,8.63,5.55,19.88
BARITO KUALA,31.39,3.9,0.95,63.33,2.5,29.97
KUANTAN SINGINGI,31.32,2.44,3.41,37.86,6.18,28.06
INDRAGIRI HILIR,31.03,4.12,1.11,37.72,3,39.62
BANGGAI LAUT,31.01,4.43,2.58,11.11,3,18.05
BLITAR,30.83,12.6,5.82,28.61,6.38,42.81
KEDIRI,30.5,8.27,3.47,26.88,3.54,27.64
PACITAN,30.15,6.59,3.23,39.62,13.8,33.77
INDRAGIRI HULU,29.3,7.47,1.35,48.36,4.85,60.26
BINTAN,29.17,3.91,3.04,27.42,3.27,8.08
MAMUJU TENGAH,29.16,1.98,2.19,48.24,2.67,7.54
KUBU RAYA,29.09,4.54,0.51,14.34,3.49,41.74
BANJAR,29.06,12.46,1.34,15.74,2,42.86
JAYAPURA,28.8,5.56,1.56,8.62,4,35.71
KOTA BANDAR LAMPUNG,28.19,31.77,3.21,26.27,4.6,41.37
KOTA JAKARTA UTARA,28.19,73.49,0.54,6.82,5.37,14.57
MINAHASA TENGGARA,28.09,3.34,9.36,80.56,2.25,13.23
SUKOHARJO,28.05,13.02,1.89,22.91,4.48,23.45
KARANGASEM,28.04,32.83,4.51,18.39,2.69,72.33
PASANGKAYU,27.82,5.25,1.67,46.3,7.67,75
KOTAWARINGIN TIMUR,27.65,6.69,0,22.56,0,14.42
KOTA LANGSA,27.62,10.42,6.63,27.96,4,53.88
KOTA BOGOR,27.61,18.54,0.54,18.15,2,18.01
